loss,grad_norm,learning_rate,entropy,num_tokens,logits/chosen,logits/rejected,mean_token_accuracy,rewards/chosen,rewards/rejected,rewards/accuracies,rewards/margins,logps/chosen,logps/rejected,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,eval_entropy,eval_num_tokens,eval_logits/chosen,eval_logits/rejected,eval_mean_token_accuracy,eval_rewards/chosen,eval_rewards/rejected,eval_rewards/accuracies,eval_rewards/margins,eval_logps/chosen,eval_logps/rejected,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.6958292961120606,32.75,9.782608695652175e-07,1.5846529603004456,720.0,-1.7377998634055234,-2.571070589334925,0.5057800889015198,0.0011374662804882973,0.0064221192616969345,0.4,-0.005284653184935451,-76.76432571411132,-50.26290702819824,0.010940919037199124,10,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.010940919037199124,10,0.6944466233253479,4.0906,24.935,3.178,1.4303790514285748,720.0,-1.9770162103859263,-2.306133615120144,0.5855974555015564,0.0007888403040571854,0.0034035281009542253,0.5096153846153846,-0.002614687752121916,-70.55875191321739,-56.53028106689453,,,,,
0.6869221687316894,30.25,2.065217391304348e-06,1.490514349937439,1507.0,-2.0166576229055515,-2.4590063399997155,0.5616124719381332,0.02146102970582433,0.008750992314890026,0.6,0.012710037082433701,-70.33329353332519,-58.8317834854126,0.02188183807439825,20,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.02188183807439825,20,0.6905363202095032,4.0992,24.883,3.171,1.430655653660114,1507.0,-1.9769588259143585,-2.306860648791844,0.5842121151777414,0.005762308227041593,0.00038199542233577143,0.5352564110205724,0.005380312213674188,-70.50901794433594,-56.5604969904973,,,,,
0.6895369529724121,20.625,3.152173913043479e-06,1.4029803991317749,2386.0,-2.177556951534918,-2.4734368804963336,0.5555392563343048,0.0028923799000040162,-0.004532432642008644,0.6,0.007424812437966466,-70.30897369384766,-58.6803035736084,0.03282275711159737,30,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.03282275711159737,30,0.6870587468147278,4.1027,24.861,3.169,1.4387930081440852,2386.0,-1.9693567881686382,-2.298084320294388,0.5856245847848746,0.0116684278831459,-0.00029182804372304905,0.6923076923076923,0.01196025564478567,-70.44995586688702,-56.56723491962139,,,,,
0.6894924640655518,16.625,4.239130434782609e-06,1.5131193578243256,3167.0,-1.9658075360387968,-1.9929664225494856,0.5329620093107224,0.007064590771915391,-0.0003874586895108223,0.7,0.007452049478888512,-71.59228439331055,-57.34726219177246,0.0437636761487965,40,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.0437636761487965,40,0.6805338859558105,4.1138,24.795,3.16,1.452929212496831,3167.0,-1.9541255702901574,-2.2779788259744715,0.5864267670191251,0.015260517973309526,-0.010554493512385167,0.7564102594669049,0.025815011861805733,-70.41403491680438,-56.669861133282,,,,,
0.6716084003448486,30.375,5.3260869565217395e-06,1.4834524989128113,3952.0,-1.855008781683533,-2.078441460096928,0.5673819869756699,0.023407975025475026,-0.021062679355964065,0.7,0.04447065396234393,-69.61415100097656,-51.42087631225586,0.05470459518599562,50,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.05470459518599562,50,0.6687980890274048,4.1254,24.725,3.151,1.4692327976226807,3952.0,-1.9342341074880105,-2.252470363510476,0.5871910338218396,0.03375649835484532,-0.016421405168680046,0.8237179517745972,0.05017790370262586,-70.22907550518329,-56.72853029691256,,,,,
0.6622848510742188,25.75,6.41304347826087e-06,1.7818906903266907,4740.0,-1.7691327432916968,-2.574699735562354,0.5354075014591217,0.02906768835382536,-0.03418430387973785,0.9,0.06325199212878943,-82.86917190551758,-66.25284309387207,0.06564551422319474,60,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.06564551422319474,60,0.6575068235397339,4.1459,24.603,3.136,1.4917744581515973,4740.0,-1.9130883827155516,-2.223150601948971,0.5908679962158203,0.04683539672539784,-0.02735306999574487,0.8333333363899817,0.07418846625548142,-70.09828802255484,-56.83784690270057,,,,,
0.653304147720337,31.125,7.500000000000001e-06,1.6298592269420624,5519.0,-1.9287378646932016,-2.082655898495709,0.4973756656050682,0.036919136764481664,-0.04547971803694963,0.9,0.08239885298535228,-81.21986503601075,-52.52140712738037,0.07658643326039387,70,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.07658643326039387,70,0.6449337601661682,4.1508,24.573,3.132,1.516960593370291,5519.0,-1.899297963399479,-2.198316817962934,0.5915943017372718,0.058760010852263525,-0.04269833991733881,0.852564105620751,0.10145834948007877,-69.97903853196364,-56.99129926241361,,,,,
0.6472838401794434,23.625,8.586956521739131e-06,1.3520298898220062,6362.0,-1.8217924377523858,-2.172206709567211,0.6511741667985916,0.05122583527117967,-0.04479370191693306,0.8,0.0960195342078805,-65.13839073181153,-55.59331703186035,0.087527352297593,80,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.087527352297593,80,0.6288098096847534,4.1581,24.53,3.126,1.5462852716445923,6362.0,-1.8647457027018777,-2.150865618747137,0.5918280321818131,0.07433254866359326,-0.06345075770066334,0.852564105620751,0.137783306149336,-69.8233143733098,-57.19882407555213,,,,,
0.6730605602264405,22.5,9.673913043478262e-06,1.5756213665008545,7129.0,-1.7741517725648706,-1.9990759929980033,0.5674670457839965,0.013654441805556417,-0.03170318603515625,0.6,0.04535762779414654,-69.24800071716308,-59.486567687988284,0.09846827133479212,90,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.09846827133479212,90,0.61363285779953,4.1725,24.446,3.116,1.5973598315165594,7129.0,-1.7870491595566187,-2.05706797929653,0.5960531372290391,0.09359604191894715,-0.07925882663291234,0.8814102594669049,0.17285487055778503,-69.63067891047551,-57.35690513023963,,,,,
0.5796048641204834,16.625,9.99821076948843e-06,1.7942919373512267,7948.0,-1.5992954567766242,-1.775501428777724,0.5614988684654236,0.1764683537185192,-0.06977790854871273,1.0,0.24624626561999322,-76.92723159790039,-61.17559471130371,0.10940919037199125,100,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.10940919037199125,100,0.5954240560531616,4.1938,24.322,3.1,1.6587488559576182,7948.0,-1.703218564655098,-1.9505192288888178,0.5966552495956421,0.10594303332842313,-0.1095525840154061,0.9102564133130587,0.2154956184900724,-69.50720977783203,-57.65984227107121,,,,,
0.6206016063690185,20.375,9.98945027401168e-06,1.7322851061820983,8749.0,-1.8395715951212193,-1.8496049069156861,0.6304201543331146,0.04918335117399693,-0.10738209113478661,0.8,0.15656544491648675,-65.25617904663086,-60.65145988464356,0.12035010940919037,110,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.12035010940919037,110,0.5765920281410217,4.2034,24.266,3.093,1.7305986147660475,8749.0,-1.62173793438723,-1.8445838935787688,0.5956456477825458,0.11302100394207698,-0.1495855851815297,0.900641028697674,0.2626065886937655,-69.43643041757437,-58.06017274122972,,,,,
0.5709730625152588,24.75,9.973402658145908e-06,1.8799606084823608,9547.0,-1.6185837339395637,-2.0116159424411335,0.5307870239019394,0.20451954100281,-0.06946582854725421,0.8,0.27398536875844004,-76.02107124328613,-54.6323844909668,0.13129102844638948,120,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.13129102844638948,120,0.560983419418335,4.2231,24.153,3.078,1.8024458793493419,9547.0,-1.5352315779440624,-1.7358770601089573,0.5937267175087562,0.10978296828957704,-0.19239801512314722,0.8910256440822895,0.30218098713801456,-69.46881015484149,-58.488297095665565,,,,,
0.5471323013305665,14.0625,9.950091359524991e-06,1.6982510685920715,10378.0,-1.4184239983389813,-1.5186282745559176,0.6584920734167099,0.12650573756545783,-0.21417675279080867,0.8,0.34068248271942136,-66.55081176757812,-63.752051544189456,0.1422319474835886,130,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.1422319474835886,130,0.5466718673706055,4.2804,23.83,3.037,1.8781172037124634,10378.0,-1.4406687392027882,-1.625009313177535,0.597165435552597,0.10504194005177571,-0.23631435747330004,0.900641028697674,0.3413562946594678,-69.5162221468412,-58.92746001023512,,,,,
0.5519229888916015,18.5,9.919550424432615e-06,1.8290583729743957,11244.0,-1.1812075667423616,-1.429761985973808,0.6863903820514679,0.06537536876276136,-0.2508876449428499,0.9,0.31626301035285,-65.4446418762207,-61.800117111206056,0.15317286652078774,140,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.15317286652078774,140,0.5322011113166809,4.3718,23.331,2.974,1.9191550016403198,11244.0,-1.4003097624781806,-1.5685630971886555,0.5957342982292175,0.10164831564403497,-0.27974993219742406,0.8910256440822895,0.3813982537159553,-69.5501576937162,-59.3618158193735,,,,,
0.5067249298095703,15.9375,9.881824458077491e-06,2.0950465321540834,12086.0,-1.2338511430722803,-1.4454001829295255,0.5500885635614395,0.15656417831778527,-0.2608202228322625,1.0,0.4173843950033188,-74.79750289916993,-64.48847961425781,0.16411378555798686,150,,,,,,,,,,,,,,,,,,,,
